Name,Pass Yards,Rush Yards,TD/Int Ratio,Completion Percentage,Adjusted Yards per Attempt,QBR,EPA
Aaron Rodgers,268.6875,9.933333333333334,9.1,70.72243346007605,9.6,84.4,113.1
Tom Brady,289.5625,0.5,3.3,65.73770491803279,8.0,72.5,94.7
Patrick Mahomes,316.0,25.666666666666668,6.5,66.3265306122449,8.9,82.9,138.1
Deshaun Watson,301.4375,27.75,4.692307692307692,70.22058823529412,9.5,70.5,99.6
Russell Wilson,263.25,32.0625,3.130434782608696,68.81720430107528,7.9,73.5,102.9
Lamar Jackson,183.8,67.0,2.8750000000000004,64.36170212765957,7.6,73.7,82.9
Ryan Tannehill,238.6875,20.46153846153846,4.6000000000000005,65.48856548856548,8.7,78.3,95.3
Justin Herbert,289.06666666666666,18.0,3.058823529411765,66.55462184873949,7.6,69.5,102.3
Kyler Murray,248.1875,51.1875,2.1363636363636362,67.20430107526882,7.1,68.9,99.9
Baker Mayfield,222.6875,10.3125,3.3124999999999996,62.757201646090536,7.7,72.2,83.6
Derek Carr,256.4375,10.76923076923077,3.058823529411765,67.31141199226306,8.2,71.0,91.1
Matthew Stafford,255.25,8.615384615384615,2.578947368421053,64.20454545454545,7.9,68.4,77.3
Matt Ryan,286.3125,7.076923076923077,2.3333333333333335,65.01597444089457,7.4,67.0,90.1
Kirk Cousins,266.5625,14.181818181818182,2.7199999999999998,67.63565891472868,8.5,63.2,76.9
Dak Prescott,371.2,18.6,2.2777777777777777,68.01801801801803,8.4,78.7,93.1
Philip Rivers,260.5625,-0.8,2.2,67.95580110497238,7.7,62.5,73.4
Joe Burrow,268.8,15.777777777777779,2.666666666666667,65.34653465346535,6.7,56.2,47.8
Drew Brees,245.16666666666666,-0.25,4.133333333333334,70.51282051282051,8.1,74.6,66.2
Ben Roethlisberger,253.53333333333333,0.9166666666666666,3.375,65.62500000000001,6.6,60.1,76.0
Ryan Fitzpatrick,232.33333333333334,18.875,1.6333333333333335,68.53932584269661,7.5,76.9,49.9
Jared Goff,263.46666666666664,7.071428571428571,1.5,67.02898550724639,6.8,58.5,64.0
Jalen Hurts,132.625,32.18181818181818,1.5185185185185184,52.02702702702703,6.8,41.0,49.8
Daniel Jones,210.21428571428572,32.53846153846154,1.1363636363636362,62.5,6.1,61.5,57.6
Andy Dalton,197.27272727272728,11.4,1.7500000000000002,64.86486486486487,6.3,53.8,30.9
Alex Smith,197.75,0.6,0.7499999999999999,66.66666666666666,5.3,34.8,35.0
Tua Tagovailoa,181.4,13.625,2.235294117647059,64.13793103448276,6.2,52.5,32.4
Teddy Bridgewater,248.86666666666667,19.928571428571427,1.3636363636363635,69.10569105691057,7.2,64.2,71.7
Jimmy Garoppolo,182.66666666666666,6.25,1.3888888888888888,67.14285714285715,7.2,61.5,41.9
Mitchell Trubisky,228.33333333333334,19.5,2.0,67.003367003367,6.8,61.3,41.0
Cam Newton,177.13333333333333,39.46666666666667,0.8148148148148149,65.76086956521738,6.4,47.0,42.9
Drew Lock,225.6153846153846,13.333333333333334,1.0588235294117647,57.33634311512416,5.8,48.8,44.8
Gardner Minshew,251.0,17.0,1.0,66.05504587155963,7.2,51.7,31.9
Carson Wentz,218.33333333333334,23.0,1.0882352941176472,57.43707093821511,5.2,49.6,39.4
Sam Darnold,184.0,19.727272727272727,0.8333333333333334,59.61538461538461,5.2,40.1,24.3
Taylor Heinicke,137.0,22.0,10,63.1578947368421,8.3,48.3,49.0
Josh Allen,284.0,26.3125,3.823529411764706,69.23076923076923,8.5,81.7,128.6
